ID,Name,Description,Flavor Profile
1,Cuscatleco,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Ethiopia.,Bright acidity with hints of citrus and berries
2,Yirgacheffe,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Brazil.,Floral and fruity with tea-like notes
3,Bourbon,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Colombia.,Rich and chocolatey with nutty undertones
4,Hybrid de Timor,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Ethiopia.,Floral and fruity with tea-like notes
5,Arabica Typica,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Costa Rica.,Sweet and balanced with honey notes
6,Colombia,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Brazil.,Bright acidity with hints of citrus and berries
7,Arabica Typica,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Guatemala.,Sweet and balanced with honey notes
8,SL28,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Brazil.,Floral and fruity with tea-like notes
9,Blue Mountain,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Brazil.,Smooth body with caramel sweetness
10,Timtim,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Kenya.,Smooth body with caramel sweetness
11,Mundo Novo,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Kenya.,Winey acidity and tropical fruit aroma
12,Caturra,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Panama.,Sweet and balanced with honey notes
13,Tico,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Colombia.,Sweet and balanced with honey notes
14,Harar,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Costa Rica.,Floral and fruity with tea-like notes
15,Villa Sarchi,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Guatemala.,Rich and chocolatey with nutty undertones
16,Blue Mountain,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Ethiopia.,Floral and fruity with tea-like notes
17,Sarchimor,A coffee variety known for its distinct regional profile and cultivation heritage. Grown primarily in Guatemala.,Sweet and balanced with honey notes
